<OOV> 1.0	OOV
مجسمے 1.0	M U D_ZZ A S S A M AY
لانڈری 1.0	L AA N DD R II
بکنگ 1.0	B A K I NG
ابتسام 1.0	I B T_D I S AA M
مندوں 1.0	M A N D_D OON
حراساں 1.0	H A R AA S AAN
ٹکرا 1.0	TT A K R AA
سہیلیوں 1.0	S A H AY L II OON
سپنوں 1.0	S A P N OON
رس 1.0	R A S
ماتونڈکڑ 1.0	M AA T_D UU N DD A K K A RR
ایاف 1.0	II J AA F
ایکصفرآٹھ 1.0	AE K S F A R AA TT_H
اخنور 1.0	A X A N V A R
علوم 1.0	U L UU M
سارہ 1.0	S AA R AA
ننگا 1.0	N A NG G AA
سرکشی 1.0	S A R K A SH II
بروارڈ 1.0	B A R V AA R DD
اوپنر 1.0	OO P N A R
والٹ 1.0	V AA L TT
پیٹتے 1.0	P II TT T_D AY
مارٹم 1.0	M AA R TT A M
چارٹر 1.0	T_SH AA R TT A R
شارلٹ 1.0	SH AA R L TT
راضی 1.0	R AA Z II
سیکیولرزم 1.0	S II K J UU L A R I Z M
گھمنڈ 1.0	G_H U M A N DD
برفانی 1.0	B A R F AA N II
دلیپ 1.0	D_D A L II P
اکاؤنٹینٹ 1.0	A K AA UU N TT AE N TT
نمائندگان 1.0	N U M AA I N D_D A G AA N
اٹھارہساتتین 1.0	A TT AA R A H S AA T_D II N II
صنفی 1.0	S I N F II
پورعلاقے 1.0	P UU R A L AA Q AY
کریٹک 1.0	K A R AE TT I K
فائرنگ 1.0	F AA I R I NG
شورش 1.0	SH OO R I SH
ستار 1.0	S I T_D AA R
پیغامات 1.0	P AE 7 AA M AA T_D
قومییں 1.0	Q O M AYN AYN
ایزی 1.0	II Z II
فالورز 1.0	F AA L UU R Z
منسلک 1.0	M U N S I L I K
فلنٹ 1.0	F I L A N TT
کوپسی 1.0	K UU P S II
کرزار 1.0	K A R Z AA R
اکالی 1.0	A K AA L II
ویٹیکین 1.0	V AE TT II K II N
بیوشن 1.0	B AE V I SH A N
بلیپنگ 1.0	B A L II P I NG
زندگیاں 1.0	Z I N D_D A G I J AAN
سرجریز 1.0	S A R D_ZZ A R II Z
سینڈل 1.0	S AE N DD A L
ملوایا 1.0	M I L V AA J AA
قورمے 1.0	Q O R M AY
پریکٹس 1.0	P A R AE K TT I S
بھوپیندر 1.0	B_H UU P AY N D_D A R
ساکشی 1.0	S AA K I SH II
خودمختاد 1.0	X U D_D M U X T_D AA D_D
آٹھچھصفر 1.0	AA TT_H T_SH A S A F A R
بکنے 1.0	B A K N AY
پیسفک 1.0	P AY S I F I K
باہ 1.0	B AA
صحارا 1.0	S A H AA R AA
را 1.0	R AA
فیسٹول 1.0	F AE S TT UU L
کلینک 1.0	K A L II N I K
معاویہ 1.0	M U AA V I J AA
تنازعات 1.0	T_D A N AA Z U AA T_D
انجمنوں 1.0	I N D_ZZ A M A N OON
میگا 1.0	M AE G AA
لابیز 1.0	L AA B II Z
پشتونخوا 1.0	P A SH T_D OO N X A N
انکوائری 1.0	I N K U V AA I R II
فریم 1.0	F A R II M
نتیش 1.0	N A T_D II SH
سیاسیات 1.0	S I J AA S J AA T_D
نالاسوپارا 1.0	N AA L AA S OO P AA R AA
عبدالناصر 1.0	A B D_D U N A N AA S I R
وسیکسی 1.0	V I S AE K S II
یوروپول 1.0	J UU R OO P OO L
ڈائری 1.0	DD AA I R II
ایڈریئن 1.0	AE DD R II A N
اادھر 1.0	A D_D_H A R
لنکس 1.0	L I N K S
رتن 1.0	R A T_D A N
لیدوں 1.0	L II D_D OON
نعیمیہ 1.0	N A II M I J AA
بحفاظت 1.0	B A H I F AA Z A T_D
جھوٹا 1.0	D_ZZ_H UU TT AA
پالترو 1.0	P AA L T_D A R UU
حرکتوں 1.0	H A R K A T_D OON
لاڈرڈیل 1.0	L AA DD R DD I J A L
کیپریو 1.0	K II P R II OO
شراب 1.0	SH A R AA B
گیروے 1.0	G AY R V AY
محو 1.0	M A H V
رانچی 1.0	R AA N T_SH II
سکڑتا 1.0	S U K A RR T_D AA
بدوشوں 1.0	B A D_D OO SH OON
دوصفرصفرچھ 1.0	D_D OO S F A R S A F A R T_SH
اندو 1.0	I N D_D OO
اترتا 1.0	U T_D A R T_D AA
طبقہ 1.0	T_D A B Q AA
داغا 1.0	D_D AA 7 AA
زادہ 1.0	Z AA D_D AA
ٹیکسلا 1.0	TT AE K S A L AA
ایکسٹنشن 1.0	AE K S TT A N SH A N
طبقے 1.0	T_D A B Q AY
ڈرگز 1.0	DD A R A G Z
سوہا 1.0	S OO H AA
پھرتے 1.0	P_H I R T_D AY
نرگینڈے 1.0	N A R G AE N DD AY
پلاننگ 1.0	P A L AA N I NG
ستائیسویں 1.0	S A T_D T_D AA II S V AYN
تھامے 1.0	T_D_H AA M AY
احمقوں 1.0	A H M A Q OON
کودوچھ 1.0	K UU D_D UU T_SH
سپاٹ 1.0	S A P AA TT
تابانی 1.0	T_D AA B AA N II
شالیمار 1.0	SH AA L II M AA R
حلفی 1.0	H A L F II
نیکی 1.0	N AY K II
سنی 1.0	S U N II
برادران 1.0	B A R AA D_D R AA N
فرنانڈس 1.0	F A R N AA N DD A S
بھولی 1.0	B_H UU L II
بندروں 1.0	B A N D_D A R OON
ہائیکورٹ 1.0	H AA II K OO R TT
عاقب 1.0	AA Q I B
سنہ 1.0	S U N AA
مجمسہ 1.0	M U D_ZZ M A S AA
بحری 1.0	B A H R II
گزرتی 1.0	G U Z A R T_D II
گیروں 1.0	G AE R OON
پیکار 1.0	P AE K AA R
چھآٹھویں 1.0	T_SH AA TT_H V AYN
برمنگھم 1.0	B A R M A N G_H A M
مارکیٹ 1.0	M AA R K II TT
اندرون 1.0	A N D_D A R UU N
اکیڈمی 1.0	A K AE DD M II
فکسرز 1.0	F I K S A R Z
عسیر 1.0	A S II R
پرومسنگ 1.0	P U R OO M S I NG
گزرتے 1.0	G U Z A R T_D AY
سمیتا 1.0	S A M II T_D AA
گزرتا 1.0	G U Z A R T_D AA
ٹورسٹ 1.0	TT UU R I S TT
رافیل 1.0	R AA F II L
چارایکسات 1.0	T_SH AA R AA K K S AA T_D
نہانے 1.0	N A H AA N AY
جبل 1.0	D_ZZ A B A L
بیچاری 1.0	B AY T_SH AA R II
پسماندگی 1.0	P A S M AA N D_D G II
حوالے 1.0	H A V AA L AY
وشمار 1.0	V A SH M AA R
ہتھیاروں 1.0	H A T_D_H J AA R OON
ٹریرزم 1.0	TT A R II R I Z M
بربریت 1.0	B A R B A R II J A T_D
سرپرست 1.0	S A R P A R A S T_D
سینسرشپ 1.0	S AE N S A R SH I P
منصب 1.0	M U N S A B
اضافی 1.0	I Z AA F II
ہرن 1.0	H A R A N
ری 1.0	R II
سند 1.0	S A N D_D
بالائے 1.0	B AA L AA AY
سنت 1.0	S U N T_D
گروسمین 1.0	G U R OO S M AE N
ایسوی 1.0	AE S V II
نیلسن 1.0	N AE L S A N
سنا 1.0	S U N AA
مسقبل 1.0	M U S A Q B A L
نجم 1.0	N A D_ZZ A M
مصمم 1.0	M U S A M M A M
عفرین 1.0	I F R II N
اترتی 1.0	U T_D A R T_D II
برطانیہ 1.0	B A R T_D AA N I J AA
ایستیبان 1.0	AE S T_D II B AA N
دھمکہ 1.0	D_D_H A M K AA
ڈارک 1.0	DD AA R K
منصف 1.0	M U N A S S I F
چاندوں 1.0	T_SH AA N D_D OON
بیماروں 1.0	B AE M AA R OON
حنفی 1.0	H A N F II
واجد 1.0	V AA D_ZZ I D_D
راکھ 1.0	R AA K_H
نواکدل 1.0	N A V AA K I D_D I L
وطنہ 1.0	V A T_D N AA
ترکاریوں 1.0	T_D A R K AA R II OON
جھوٹی 1.0	D_ZZ_H UU TT II
وطنی 1.0	V A T_D N II
بھڑکانے 1.0	B_H A RR K AA N AY
لوئڈ 1.0	L OO I DD
سپاہ 1.0	S I P AA
الاحرار 1.0	A L AA H R AA R
جھوٹے 1.0	D_ZZ_H UU TT AY
سیکھنا 1.0	S II K_H N AA
نوٹوں 1.0	N OO TT OON
اعدادو 1.0	A D_D AA D_D OO
شوکاز 1.0	SH O K AA Z
مذاہب 1.0	M A Z AA H I B
جوائی 1.0	D_ZZ A V AA II
کورٹنی 1.0	K OO R TT N II
فیفی 1.0	F AE F II
بادشاہوں 1.0	B AA D_D SH AA H OON
ایکڑ 1.0	AY K A RR
ادراوں 1.0	I D_D R AA OON
تیرا 1.0	T_D AE R AA
ناراضی 1.0	N AA R AA Z II
گھیسٹو 1.0	G_H AE S TT OO
کردیتی 1.0	K U R D_D AY T_D II
طبقاتی 1.0	T_D A B Q AA T_D II
کیراکس 1.0	K AE R AA K S
شانہ 1.0	SH AA N AA
پسندی 1.0	P I S A N D_D II
کبھار 1.0	K A B_H AA R
سنگر 1.0	S I NG G A R
ناسا 1.0	N AA S AA
شغف 1.0	SH A 7 A F
شانی 1.0	SH AA N II
شوانگ 1.0	SH A V AA NG
مینچی 1.0	M AE N T_SH II
شانے 1.0	SH AA N AY
مورچوں 1.0	M OO R T_SH OON
سپیشلسٹ 1.0	S A P AE SH A L I S TT
التجا 1.0	I L T_D I D_ZZ AA
پیئر 1.0	P AY A R
حرکات 1.0	H A R K AA T_D
بودھوں 1.0	B UU D_D_H OON
رتزبیک 1.0	R A T_D Z A B II K
سیکنڈ 1.0	S AE K I N DD
جیسیکا 1.0	D_ZZ II S II K AA
توسط 1.0	T_D A V A S S U T_D
ڈھالتے 1.0	DD_H AA L T_D AY
چھیانوےنو 1.0	T_SH I J AA N V AY N OO
ڈرانے 1.0	DD A R AA N AY
سکریٹری 1.0	S I K R II TT R II
ٹیکسس 1.0	TT AE K S A S
کشید 1.0	K U SH II D_D
فرسٹ 1.0	F A R S A TT
اٹھارہچھچھ 1.0	A TT_H AA R T_SH T_SH A T_SH
سنگم 1.0	S A NG G A M
چلاؤ 1.0	T_SH A L AA OO
پارٹیاں 1.0	P AA R TT II AAN
ہمسایوں 1.0	H A M S AA J OON
یونیفائیڈ 1.0	J UU N II F AA II DD
گٹینہ 1.0	G A TT II N AA
دندناتا 1.0	D_D A N D_D N AA T_D AA
بتایے 1.0	B A T_D AA J AY
پیالے 1.0	P I J AA L AY
بلاگرز 1.0	B A L AA G A R Z
بلاتے 1.0	B U L AA T_D AY
لٹکائے 1.0	L A TT K AA AY
اکا 1.0	A K K AA
کنفیوز 1.0	K A N F I J UU Z
حقارت 1.0	H A Q AA R A T_D
سکریپ 1.0	S I K R AE P
ساتصفرصفر 1.0	S AA T_D A S F A R S A F A R
کمشیر 1.0	K A M SH II R
ایکساتنومسلح 1.0	AY K S AA T_D OO OO M A S L A H
جوشواکو 1.0	D_ZZ OO SH OO AA K OO
ٹلرسن 1.0	TT A L A R S A N
فیفن 1.0	F II F A N
کرائسس 1.0	K A R AA I S A S
امیگرینٹ 1.0	I M II G A R AE N TT
تابوت 1.0	T_D AA B UU T_D
فریحہ 1.0	F A R II H AA
امتیازی 1.0	I M T_D I J AA Z II
ہسپتال 1.0	H A S P A T_D AA L
انٹرچینج 1.0	I N TT A R T_SH AE N D_ZZ
پیٹس 1.0	P II TT S
جنگوازم 1.0	D_ZZ A NG G AA Z I M
میووں 1.0	M AY V OON
برآمد 1.0	B A R AA M A D_D
اختتام 1.0	I X T_D I T_D AA M
عقلمند 1.0	A Q L M A N D_D
طفیلی 1.0	T_D A F AE L II
نبیل 1.0	N A B II L
رابطوں 1.0	R AA B I T_D OON
میلانیہ 1.0	M II L AA N I J AA
بھوشن 1.0	B_H UU SH A N
سیلاب 1.0	S AE L AA B
رٹگرز 1.0	R I TT G A R Z
آرجنٹینا 1.0	AA R D_ZZ A N TT II N AA
ایگزیمینیشن 1.0	AE G Z II M II N AY SH A N
پدماشری 1.0	P A D_D M AA SH R II
کرائسٹ 1.0	K A R AA I S TT
فائدے 1.0	F AA I D_D AY
اظہر 1.0	A Z H A R
کالنگ 1.0	K AA L I NG
چھڑانا 1.0	T_SH U RR AA N AA
دولھے 1.0	D_D UU L_H AY
گملہ 1.0	G U M L AA
انوشکا 1.0	I N OO SH A K AA
بازگشت 1.0	B AA Z G A SH T_D
روبینہ 1.0	R OO B II N AA
ودن 1.0	V I D_D A N
پرھیے 1.0	P I R J AY
آوارہ 1.0	AA V AA R AA
بیگلدو 1.0	B AY G A L D_D UU
فیفا 1.0	F II F AA
بنوانے 1.0	B A N V AA N AY
چمکانا 1.0	T_SH A M K AA N AA
ملزمہ 1.0	M U L Z I M AA
دھاری 1.0	D_D_H AA R II
دھاوا 1.0	D_D_H AA V AA
پرفیکٹ 1.0	P A R F AE K TT
ایکٹ 1.0	AE K A TT
پکڑاؤ 1.0	P A K RR AA OO
خاندانوں 1.0	X AA N D_D AA N OON
گسٹ 1.0	G A S TT
گورایہ 1.0	G OO R AA J AA
ڈائنامک 1.0	DD AA I N AA M I K
افراسیاب 1.0	A F R AA S J AA B
النصرہ 1.0	A L N A S R AA
رچ 1.0	R A T_SH
مباحثوں 1.0	M U B AA H A S OON
اسلامیہ 1.0	I S L AA M I J AA
دھرنا 1.0	D_D_H A R N AA
ڈھکی 1.0	DD_H A K K II
انسٹی 1.0	I N S TT II
رائلٹی 1.0	R AA I L TT II
ڈاکوؤں 1.0	DD AA K UU OON
نبھائی 1.0	N I B_H AA II
چھپوانا 1.0	T_SH A P V AA N AA
سرپرستی 1.0	S A R P A R A S T_D II
پراسیکیوشن 1.0	P A R AA S II K I J UU SH A N
اعوان 1.0	A V AA N
فیلڈر 1.0	F AE L DD A R
فیلڈز 1.0	F II L DD Z
مفتاح 1.0	M U F T_D AA
سزایافتہ 1.0	S A Z AA J AA F T_D AA
ولاگ 1.0	V A L AA G
اندرونی 1.0	A N D_D A R UU N II
کیانی 1.0	K I J AA N II
ٹریننگ 1.0	TT A R AY N I NG
دوڑیں 1.0	D_D OO RR AYN
لبرلز 1.0	L I B R A L Z
چمکتی 1.0	T_SH A M A K T_D II
فقہ 1.0	F U Q AA
خیرباد 1.0	X AE R B AA D_D
رائیونڈ 1.0	R AA II V I N DD
کچلنے 1.0	K U T_SH A L N AY
ایلیکس 1.0	II L AE K S
ٹائی 1.0	TT AA II
فرمان 1.0	F A R M AA N
کندھار 1.0	K A N D_D_H AA R
تیسایک 1.0	T_D AE S AA J I K
مستانہ 1.0	M A S T_D AA N AA
برسٹو 1.0	B A R I S TT OO
سانگھڑ 1.0	S AA NG G_H A RR
کویتا 1.0	K UU II T_D AA
کنٹر 1.0	K A N TT A R
پردو 1.0	P A R D_D OO
کنڈیشنز 1.0	K A N DD II SH A N Z
چیمپیئنز 1.0	T_SH AE M P II A N Z
دہرائیں 1.0	D_D O_O_H H R AA AYN
تھانوں 1.0	T_D_H AA N OON
عریض 1.0	A R II Z
سلیک 1.0	S I L II K
مؤکل 1.0	M U UU K A L
کاک 1.0	K AA K
عمارتیں 1.0	I M AA R A T_D AYN
مجھےمعلوم 1.0	M A D_ZZ_H AY M A L UU M
چٹیا 1.0	T_SH A TT J AA
نیکسٹ 1.0	N AE K S TT
ویکیسین 1.0	V AE K AY S II N
گلوکاروں 1.0	G U L UU K AA R OON
سارو 1.0	S AA R UU
ہچکچائے 1.0	H I T_SH K I T_SH AA AY
کان 1.0	K AA N
کال 1.0	K AA L
نہرو 1.0	N A_E_H H R UU
مجسٹریٹ 1.0	M A D_ZZ I S TT A R AY TT
کررہی 1.0	K A R R A H II
مورتی 1.0	M UU R T_D II
ایمانوں 1.0	II M AA N OON
چاہیئیں 1.0	T_SH AA H II AYN
تکیمل 1.0	T_D A K II M U L
ارحم 1.0	A R H A M
دیپیکا 1.0	D_D II P AE K AA
کردستان 1.0	K U R D_D A S T_D AA N
ٹینگ 1.0	TT AE NG
کاٹ 1.0	K AA TT
پینتیستین 1.0	P AEN T_D II S T_D II N
فقط 1.0	F U Q A T_D
بیلٹس 1.0	B AE L TT S
مسان 1.0	M A S AA N
سیریئن 1.0	S AE R II A N
عباس 1.0	A B B AA S
مخمصے 1.0	M U X M A S AY
سپلائیرز 1.0	S A P L AA I J A R Z
بگڑتی 1.0	B I G A RR T_D II
سےخالی 1.0	S AY X AA L II
ٹائم 1.0	TT AA I M
بینرز 1.0	B AE N A R Z
پریگنینسی 1.0	P A R AY G N AE N S II
جچتے 1.0	D_ZZ A T_SH T_D AY
مندانہ 1.0	M A N D_D AA N AA
مساج 1.0	M A S AA D_ZZ
ٹرسٹی 1.0	TT A R A S TT II
ڈرافٹنگ 1.0	DD I R AA F TT I NG
کنڈیشنڈ 1.0	K A N DD II SH A N DD
بھاگی 1.0	B_H AA G II
زہریلیوں 1.0	Z A_E_H H R II L II OON
ایئرکرافٹ 1.0	AY A R K A R AA F TT
حجاب 1.0	H I D_ZZ AA B
برداروں 1.0	B A R D_D AA R OON
دریافتیں 1.0	D_D A R J AA F T_D AYN
عیسائی 1.0	II S AA II
مستقبل 1.0	M U S T_D A Q B A L
کاش 1.0	K AA SH
مارجن 1.0	M AA R D_ZZ A N
نوح 1.0	N O
دھرنے 1.0	D_D_H A R N AY
پگی 1.0	P A G G II
ڈھکا 1.0	DD_H A K AA
اورکھانوں 1.0	O R K_H AA N OON
بھجواتے 1.0	B_H I D_ZZ V AA T_D AY
انسٹا 1.0	I N S TT AA
نوئل 1.0	N UU I L
مجمع 1.0	M U D_ZZ M AA
بارباڈوس 1.0	B AA R B AA DD UU S
کاج 1.0	K AA D_ZZ
ٹائپ 1.0	TT AA I P
تقلید 1.0	T_D A Q L II D_D
کلوڈیو 1.0	K A L OO DD II OO
گورکھ 1.0	G OO R A K_H
گردانہ 1.0	G A R D_D AA N AA
قربانیوں 1.0	Q U R B AA N II OON
رپبلکن 1.0	R I P A B L I K A N
سکلیا 1.0	S I K A L J AA
راکیش 1.0	R AA K AY SH
بدی 1.0	B A D_D D_D II
سکوں 1.0	S U K K OON
زنانہ 1.0	Z A N AA N AA
زینوں 1.0	Z II N OON
تھوپا 1.0	T_D_H UU P AA
مینڈیلے 1.0	M AE N DD AY L AY
قراردادوں 1.0	Q A R AA R D_D AA D_D OON
بہنیں 1.0	B A_E_H H N AYN
شیڈیول 1.0	SH AE DD J UU L
وارز 1.0	V AA R Z
ریلیشنز 1.0	R AE L AY SH A N Z
رامی 1.0	R AA M II
بساط 1.0	B A S AA T_D
اٹل 1.0	A TT A L
خطے 1.0	X A T_D T_D AY
کاغذی 1.0	K AA 7 A Z II
گرینج 1.0	G A R AY N D_ZZ
بھیجو 1.0	B_H AY D_ZZ OO
تعلقات 1.0	T_D A A L L U Q AA T_D
ہبلن 1.0	H I B L I N
سفاعت 1.0	S A F AA A T_D
آگی 1.0	AA G II
خطہ 1.0	X I T_D T_D AA
سودمند 1.0	S UU D_D M A N D_D
تصادم 1.0	T_D A S AA D_D U M
بساج 1.0	B A S AA D_ZZ
ٹیڈروس 1.0	TT AE DD R UU S
ٹائمز 1.0	TT AA I M Z
دیمتری 1.0	D_D II M T_D R II
کیاہے 1.0	K I J AA H AY
ہیگن 1.0	H AE G A N
بازی 1.0	B AA Z II
مارو 1.0	M AA R UU
ٹائمل 1.0	TT AA I M A L
سوار 1.0	S A V AA R
خرابی 1.0	X A R AA B II
آٹے 1.0	AA TT AY
نوچھ 1.0	N OO T_SH
پلانٹ 1.0	P A L AA N TT
مشابہت 1.0	M U SH AA B A H A T_D
سوات 1.0	S A V AA T_D
جہموری 1.0	D_ZZ A H M UU R II
ڈیمس 1.0	DD AE M S
اتارچڑھاؤ 1.0	U T_D AA R T_SH A RR_H AA OO
روہت 1.0	R OO H A T_D
پنالٹی 1.0	P I N AA L TT II
نگینہ 1.0	N A G II N AA
طلوع 1.0	T_D A L UU
مملوکی 1.0	M A M L UU K II
راشدہ 1.0	R AA SH I D_D AA
مر 1.0	M U R
ملامت 1.0	M U L AA M A T_D
سلائی 1.0	S A L AA II
بارہا 1.0	B AA R H AA
بلآخر 1.0	B A L AA X U R
ذلت 1.0	Z I L L A T_D
بیگانہ 1.0	B AY G AA N AA
عقائد 1.0	A Q AA I D_D
بیگانی 1.0	B AY G AA N II
بدن 1.0	B A D_D A N
ممتاز 1.0	M U M T_D AA Z
مسالوں 1.0	M A S AA L OON
نوجون 1.0	N O D_ZZ UU N
داخلے 1.0	D_D AA X I L AY
ضیاءالدین 1.0	Z I J AA D_D AA L D_D II N
بدو 1.0	B A D_D D_D UU
االاقوامی 1.0	A L L AA Q V AA M II
داخلی 1.0	D_D AA X I L II
رجسٹرڈ 1.0	R A D_ZZ I S TT A R DD
داخلہ 1.0	D_D AA X I L AA
چینجر 1.0	T_SH AY N D_ZZ A R
انگلیوں 1.0	U NG L II OON
خوبصورتی 1.0	X UU B S UU R A T_D II
ایئربس 1.0	AY A R B A S
یاتریوں 1.0	J AA T_D R II OON
گلابوں 1.0	G U L AA B OON
دیگرے 1.0	D_D AY G R AY
وارک 1.0	V AA R K
کیندراپاڑا 1.0	K AY N D_D R AA P AA RR AA
ٹیمز 1.0	TT II M Z
انجی 1.0	I N D_ZZ II
گالیوں 1.0	G AA L II OON
جگتی 1.0	D_ZZ U G T_D II
کارخانہ 1.0	K AA R X AA N AA
آٹا 1.0	AA TT AA
تشکیل 1.0	T_D A SH K II L
ٹارگیٹس 1.0	TT AA R G AE TT S
سواں 1.0	S A V AAN
خطر 1.0	X A T_D A R
پیولوس 1.0	P AE OO L OO S
سٹیفین 1.0	S A TT AY F I J A N
آٹھنوچھصفر 1.0	AA TT_H N OO T_SH A S A F A R
سمرڈ 1.0	S A M A R DD
متعدی 1.0	M U T_D A A D_D D_D II
کےمتعدد 1.0	K AY M U T_D A D_D D_D
رجسٹری 1.0	R A D_ZZ I S TT A R II
خطا 1.0	X A T_D AA
جھری 1.0	D_ZZ_H A R II
آٹو 1.0	AA TT OO
اداکاروں 1.0	A D_D AA K AA R OON
مقررہ 1.0	M U Q A R R A R AA
پڑھا 1.0	P A RR_H AA
مگن 1.0	M A G A N
شکنجے 1.0	SH I K A N D_ZZ AY
یونیوسٹیاں 1.0	J UU N J UU S TT I J AAN
پلانے 1.0	P I L AA N AY
تھوپے 1.0	T_D_H UU P AY
اہلمد 1.0	A H L A M A D_D
علمبردار 1.0	A L A M B A R D_D AA R
شکنجہ 1.0	SH I K A N D_ZZ AA
لابیئسٹ 1.0	L AA B II I S TT
ٹکرائے 1.0	TT A K R AA AY
دوصفردونو 1.0	D_D O S F A R D_D OO N OO
بدر 1.0	B A D_D A R
رضاکارانہ 1.0	R A Z AA K AA R AA N AA
آسٹریوی 1.0	AA S TT A R II V II
ججھک 1.0	D_ZZ I D_ZZ_H A K
سنوائی 1.0	S U N V AA II
پھیلی 1.0	P_H AE L II
دسیوں 1.0	D_D A S S II OON
مکیش 1.0	M U K AE SH
فارینزک 1.0	F AA R II N I Z K
بتائیے 1.0	B A T_D AA II AY
دراز 1.0	D_D A R AA Z
نوٹیفیکیشن 1.0	N OO TT II F II K AY SH A N
نقیب 1.0	N A Q II B
ربائی 1.0	R A B AA II
حدیبہ 1.0	H A D_D II B AA
پردیس 1.0	P A R D_D AY S
پھیلے 1.0	P_H AE L AY
ڈاون 1.0	DD AA V A N
چھپتی 1.0	T_SH A P T_D II
برنارڈینو 1.0	B A R N AA R DD II N OO
اترا 1.0	I T_D R AA
تابکاری 1.0	T_D AA B K AA R II
فارنزک 1.0	F AA R N I Z K
ابوظہبی 1.0	A B V A H H A B II
ساکیت 1.0	S AA K II J A T_D
چنی 1.0	T_SH U N II
لوئزے 1.0	L OO I Z AY
نامعقول 1.0	N AA M A Q UU L
مملوک 1.0	M A M L UU K
ہرایا 1.0	H A R AA J AA
بھرتی 1.0	B_H A R T_D II
رٹھ 1.0	R A TT_H
آمنہ 1.0	AA M N AA
کابنیہ 1.0	K AA B I N J AA
کاسٹرز 1.0	K AA S TT A R Z
جمی 1.0	D_ZZ A M II
فلن 1.0	F I L A N
کلینڈر 1.0	K A L AE N DD A R
دوصفرایکچھ 1.0	D_D OO S F A R AA AY K T_SH
کرائن 1.0	K A R AA I N
تسلط 1.0	T_D A S A L L U T_D
علامتی 1.0	A L AA M A T_D II
اکھٹی 1.0	I K_H A TT TT II
بھرتے 1.0	B_H A R T_D AY
گریبان 1.0	G I R II B AA N
صفرصفر 1.0	S A F A R S A F A R
بتائیں 1.0	B A T_D AA AYN
موسیماتی 1.0	M UU S II M AA T_D II
جنیفر 1.0	D_ZZ A N II F A R
ہمیش 1.0	H A M AE SH
گوا 1.0	G A V AA
ریفورم 1.0	R II F OO R A M
ایلبم 1.0	AE L B A M
ڈیٹنگ 1.0	DD AE TT I NG
ویٹرو 1.0	V AE TT R OO
مکین 1.0	M U K II N
ماحولیاتی 1.0	M AA H UU L I J AA T_D II
سوسائٹیاں 1.0	S OO S AA I TT II AAN
واروں 1.0	V AA R OON
اہداف 1.0	A H D_D AA F
انجوائے 1.0	I N D_ZZ V AA AY
انجلیناجولی 1.0	I N D_ZZ II N AY D_ZZ AA V L II
ربا 1.0	R A B AA
پلاٹو 1.0	P A L AA TT OO
ایملا 1.0	AE M I L AA
میرامکس 1.0	M II R AA M I K S
پٹودی 1.0	P A TT OO D_D II
کاشت 1.0	K AA SH T_D
ماربل 1.0	M AA R B A L
اٹھارہصفر 1.0	A TT AA R A H S A F A R
تعمیرنو 1.0	T_D AA M II R AY N OO
پدماوت 1.0	P A D_D M AA V A T_D
سوئٹزر 1.0	S UU I TT A Z A R
نسبندی 1.0	N I S B A N D_D II
دلامینی 1.0	D_D I L AA M II N II
بیانیے 1.0	B I J AA N II AY
فکشن 1.0	F I K SH A N
ڈیلووین 1.0	DD AE L OO V I J A N
کاویے 1.0	K AA V II AY
مسحد 1.0	M U S A H H I D_D
رونما 1.0	R OO N I M AA
چھپتے 1.0	T_SH A P T_D AY
فورمیشن 1.0	F OO R M AY SH A N
شمعیں 1.0	SH A M AYN
گوبین 1.0	G OO B II N
پرتاپ 1.0	P A R T_D AA P
انقلابی 1.0	I N Q I L AA B II
دراڑ 1.0	D_D A R AA RR
امرناتھ 1.0	A M A R N AA T_D_H
شکور 1.0	SH I K UU R
جمر 1.0	D_ZZ A M A R
جش 1.0	D_ZZ A SH
جز 1.0	D_ZZ I Z
جمع 1.0	D_ZZ A M AA
موڑا 1.0	M OO RR AA
بگڑتا 1.0	B I G A RR T_D AA
جم 1.0	D_ZZ A M
رابطہ 1.0	R AA B I T_D AA
نصر 1.0	N A S R
اتری 1.0	U T_D R II
کیرولین 1.0	K AE R OO L II N
رٹز 1.0	R A TT Z
مالکان 1.0	M AA L I K AA N
اترے 1.0	U T_D R AY
چھپائے 1.0	T_SH U P AA AY
پہنانے 1.0	P A_E_H H N AA N AY
میتھیو 1.0	M AE T_D_H II OO
رٹا 1.0	R A TT AA
نطفے 1.0	N U T_D F AY
ریڈیائی 1.0	R AE DD J AA II
فروی 1.0	F A R V II
تجوریوں 1.0	T_D A D_ZZ UU R II OON
دلکش 1.0	D_D I L K A SH
مباحثہ 1.0	M U B AA H I S AA
شکست 1.0	SH I K S A T_D
سلاطین 1.0	S A L AA T_D II N
کرہے 1.0	K A R H AY
سفاری 1.0	S A F AA R II
بیتا 1.0	B II T_D AA
خطروں 1.0	X A T_D R OON
ساتپانچساتصفر 1.0	S AA S I T_D AA T_SH A S T_D A S F A R
شہبازی 1.0	SH A H B AA Z II
سٹلائیٹ 1.0	S A TT L AA II TT
ارویلے 1.0	A R V II L AY
مباحثے 1.0	M U B AA H I S AY
ریحانے 1.0	R AE H AA N AY
جمپ 1.0	D_ZZ A M P
جٹ 1.0	D_ZZ A TT
لنڈن 1.0	L A N DD A N
ٹب 1.0	TT A B
کینن 1.0	K AE N A N
عیاش 1.0	A J J AA SH
جوابا 1.0	D_ZZ A V AA B AA
ہجرہ 1.0	H I D_ZZ R AA
